"observation","time_period","ref_area","indicator","breakdown","unit_measure","value","flag","note"
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3a_ui/desi_3a2_iu/egov_score/AT/2020","2020","AT","desi_3a_ui","desi_3a2_iu","egov_score",38.4858,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3a_ui/desi_3a2_iu/egov_score/DE/2020","2020","DE","desi_3a_ui","desi_3a2_iu","egov_score",42.691,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3a_ui/desi_3a2_iu/egov_score/ES/2020","2020","ES","desi_3a_ui","desi_3a2_iu","egov_score",39.7571,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3a_ui/egov_score/LV/2020","2020","LV","desi_3_ui","desi_3a_ui","egov_score",18.3901,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3a_ui/egov_score/PL/2020","2020","PL","desi_3_ui","desi_3a_ui","egov_score",16.1728,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b1_news/egov_score/EL/2020","2020","EL","desi_3b_acton","desi_3b1_news","egov_score",13.5964,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b2_mvg/egov_score/EL/2020","2020","EL","desi_3b_acton","desi_3b2_mvg","egov_score",9.7939,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b3_vod/egov_score/UK/2020","2020","UK","desi_3b_acton","desi_3b3_vod","egov_score",11.8005,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b4_vidcall/egov_score/FR/2020","2020","FR","desi_3b_acton","desi_3b4_vidcall","egov_score",6.90924,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b5_socnet/egov_score/DK/2020","2020","DK","desi_3b_acton","desi_3b5_socnet","egov_score",12.0018,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b5_socnet/egov_score/ES/2020","2020","ES","desi_3b_acton","desi_3b5_socnet","egov_score",6.83453,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3b_acton/desi_3b5_socnet/egov_score/NL/2020","2020","NL","desi_3b_acton","desi_3b5_socnet","egov_score",8.23836,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3b_acton/egov_score/AT/2020","2020","AT","desi_3_ui","desi_3b_acton","egov_score",20.9105,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3b_acton/egov_score/BG/2020","2020","BG","desi_3_ui","desi_3b_acton","egov_score",20.4492,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3b_acton/egov_score/HU/2020","2020","HU","desi_3_ui","desi_3b_acton","egov_score",26.9579,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3_ui/desi_3b_acton/egov_score/IE/2020","2020","IE","desi_3_ui","desi_3b_acton","egov_score",26.6947,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_3c_trans/desi_3c3_sell/egov_score/CY/2020","2020","CY","desi_3c_trans","desi_3c3_sell","egov_score",2.20237,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a2_socmed/egov_score/AT/2020","2020","AT","desi_4a_bd","desi_4a2_socmed","egov_score",9.85358,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a2_socmed/egov_score/IT/2020","2020","IT","desi_4a_bd","desi_4a2_socmed","egov_score",7.33965,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a2_socmed/egov_score/SI/2020","2020","SI","desi_4a_bd","desi_4a2_socmed","egov_score",7.95165,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a3_bigdat/egov_score/BG/2020","2020","BG","desi_4a_bd","desi_4a3_bigdat","egov_score",6.72928,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a3_bigdat/egov_score/HU/2020","2020","HU","desi_4a_bd","desi_4a3_bigdat","egov_score",6.23718,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a3_bigdat/egov_score/LT/2020","2020","LT","desi_4a_bd","desi_4a3_bigdat","egov_score",13.8113,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a4_cloud/egov_score/BE/2020","2020","BE","desi_4a_bd","desi_4a4_cloud","egov_score",20.7383,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4a_bd/desi_4a4_cloud/egov_score/MT/2020","2020","MT","desi_4a_bd","desi_4a4_cloud","egov_score",14.6927,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_4b2_ecomturn/ent_sm_xfin/pc_turn/PL/2020","2020","PL","desi_4b2_ecomturn","ent_sm_xfin","pc_turn",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/CZ/2015","2015","CZ","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/CZ/2016","2016","CZ","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/EU/2015","2015","EU","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/HR/2015","2015","HR","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/IE/2015","2015","IE","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/IT/2015","2015","IT","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/PL/2015","2015","PL","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/SI/2015","2015","SI","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1c1_4g/total_pophh/pc_hh_all/SK/2016","2016","SK","desi_1c1_4g","total_pophh","pc_hh_all",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/AT/2016","2016","AT","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/BE/2019","2019","BE","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/CZ/2017","2017","CZ","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/DE/2016","2016","DE","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/EL/2017","2017","EL","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/ES/2015","2015","ES","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
"http://semantic.digital-agenda-data.eu/data/DESI/desi_1d1_bbpi/desi_1d1_bbpi/egov_score/EU/2017","2017","EU","desi_1d1_bbpi","desi_1d1_bbpi","egov_score",,,
