"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",1694,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",1719,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",19093,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",18809,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",19631,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",18928,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",19584,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",19795,,
"ITD5","Emilia-Romagna","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",19709,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",16393,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",16578,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",16699,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",16794,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",17210,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",17479,,
"ITE1","Toscana","JAN","population on 1st January","9","total","Y88","88 years","99","total","2018","2018",17315,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2012","2012",4062,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2013","2013",4063,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2014","2014",4164,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2015","2015",4312,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2016","2016",4269,,
"ITE2","Umbria","JAN","population on 1st January","9","total","Y88","88 years","99","total","2017","2017",4129,,
