"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE250","250 and over","2018","2018",84.5,,
"IT","Italy","E_INV3SBG_PMP_GT0_PERC","enterprises sending invoices to other eneterprises or government with paper sending - more than 0% of all invoices  (percentages)","0049","transport and storage, except warehousing and support activities for transportation (h except 53)","W_GE10","10 and over","2018","2018",82.54,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","C","manufacturing","W10_49","10-49","2018","2018",26.66,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","C","manufacturing","W_GE10","10 and over","2018","2018",28.43,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","C","manufacturing","W50_99","50-99","2018","2018",35.19,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","C","manufacturing","W100_249","100-249","2018","2018",39.16,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","C","manufacturing","W_GE250","250 and over","2018","2018",56.14,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","F","construction","W10_49","10-49","2018","2018",64.98,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","F","construction","W_GE10","10 and over","2018","2018",65.68,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","F","construction","W50_99","50-99","2018","2018",74.9,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","F","construction","W100_249","100-249","2018","2018",79.73,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","F","construction","W_GE250","250 and over","2018","2018",78.13,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","G","wholesale and retail trade repair of motor vehicles and motorcycles","W_GE10","10 and over","2018","2018",50.35,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CA","manufacture of food products, beverages and tobacco products","W_GE10","10 and over","2018","2018",35.91,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CB","manufacture of textiles, apparel, leather and related products","W_GE10","10 and over","2018","2018",14.23,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CC","manufacture of wood and paper products, and printing","W_GE10","10 and over","2018","2018",35.14,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CH","manufacture of basic metals and fabricated metal products, except machinery and equipment","W_GE10","10 and over","2018","2018",23.18,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CL","manufacture of transport equipment","W_GE10","10 and over","2018","2018",31.01,,
"IT","Italy","E_INV3SBG_AP_GT0_PERC","enterprises sending invoices to other eneterprises or government with sending of eInvoice suitable for automated processing (eInvoice suitable)  (percentages)","CM","other manufacturing, and repair and installation of machinery and equipment","W_GE10","10 and over","2018","2018",38.46,,
