"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W100_249","100-249","2019","2019",20.95,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0035","total economic activities  (c-n, including 951, excluding 75 and k)","W_GE250","250 and over","2019","2019",38.42,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W10_49","10-49","2019","2019",3.15,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE10","10 and over","2019","2019",6.46,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W50_99","50-99","2019","2019",7.42,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W100_249","100-249","2019","2019",21.25,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0036","electricity, gas steam, air conditioning supply, water supply, sewerage, waste management and remediation activities (d-e)","W_GE250","250 and over","2019","2019",27.4,,
"IT","Italy","E_ITSPRCR2_PERC","enterprises have recruited/tried to recruit personnel for jobs requiring ICT specialist skills in previous year (percentages)","0049","transport and storage, except warehousing and support activities for transportation (h except 53)","W_GE10","10 and over","2019","2019",2.31,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","C","manufacturing","W10_49","10-49","2019","2019",2.03,,
"IT","Italy","E_ITSPVAC2_PERC","with hard-to-fill vacancies for these jobs (percentages)","C","manufacturing","W_GE10","10 and over","2019","2019",3.08,,
